ProteinID,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,NoGp_1,NoGp_2,NoGp_3,NoGn_1,NoGn_2,NoGn_3
Q7L7X3,189.9,91.8,127,184.5,82.2,156.1,168.8,130.7,104.3,138.4,106.3,150.1,94.2,83,94
O95714,8.2,9.6,7.1,11.7,6.1,7.4,8.2,11.3,6.8,13,9.1,9.2,9.7,10.6,10.3
Q5QNW6,180.2,93.3,245.6,85.3,279.8,192.8,170.8,84.8,207.5,233.3,42.1,116.6,30.7,56.3,55.9
Q7Z417,1606.7,1820.6,1556,1194.5,2011.8,1600,1677.6,1743.9,2118.2,2116.8,2061.6,1220.3,320.3,346.8,348.6
Q9NQX3,9.1,3.9,9.3,2.5,3.8,7.7,10,3.3,0,6.7,5.7,10,2.9,3.3,4.3
Q9GZP1,15.7,13.8,21.2,23.1,21.9,14.4,11.2,21.4,19.4,14.6,23,18.4,10.7,17.4,18
Q8TC92,3.9,4.2,3.3,2.8,3.6,5.6,3.8,5.7,7.7,4.7,2.3,0,3.3,2.6,3.4
Q9UNX4,681,474.5,345.5,875.2,334.4,612.2,638,555.5,498.1,594.6,366.7,456.7,529.2,282.9,323.2
Q8NCN5,5.7,6.5,10.4,15.1,6.6,2.3,4.2,9.3,6,5.2,4.4,9,6.9,5.2,10
P02533,1152.2,1571,1111.5,1164.9,1288.7,327.2,715.8,1517.9,1185.8,839.8,2267.8,1350.1,9631.2,2650.2,3456.8
Q00535,44.2,34.4,26.6,56.4,16.9,33,32.3,39.1,16.8,37.5,20.8,27.3,30.3,32.5,28.4
Q9UBE0,69.1,24.1,48.9,37.1,24.2,66.5,59.5,26.9,25.4,42.1,19.5,32.5,18.7,31.1,23.2
P82094,507.3,268.5,525.8,295.1,543.7,404.5,519.8,303.1,563,475.1,291.3,501.4,171.1,205.6,199.4
Q9UNH7,105.6,50.1,85.3,56.3,41.4,82.8,75.6,47.6,50.4,61.4,47.5,106.1,57.9,56.8,65.5
